1024OptimalCreate	1024OptimalRead	1024WorstCreate	1024WorstRead	2048OptimalCreate	2048OptimalRead	2048WorstCreate	2048WorstRead	4096OptimalCreate	4096OptimalRead	4096WorstCreate	4096WorstRead	8192OptimalCreate	8192OptimalRead	8192WorstCreate	8192WorstRead	16384OptimalCreate	16384OptimalRead	16384WorstCreate	16384WorstRead
0.000525673	0.000316815	0.036634587	0.023336213	0.001531508	0.000864055	0.146094167	0.096235263	0.002774168	0.001447798	0.597704695	0.402176375	0.005932201	0.003131866	2.650603408	1.760750841	0.013216307	0.006775354	x	x
0.000525857	0.000317084	0.036101057	0.023608532	0.001438567	0.000790702	0.146969926	0.09618411	0.002624781	0.0015548	0.592629199	0.398455142	0.005833945	0.003152555	2.623854438	1.749877706	0.013375549	0.006785467	x	x
0.000530552	0.000314426	0.036694439	0.023519444	0.001342987	0.000755414	0.146429821	0.096020841	0.002673096	0.001464789	0.594907975	0.400739363	0.005879099	0.003181517	2.914518122	1.753021979	0.013208474	0.006775671	x	x
0.00069937	0.000431687	0.03624642	0.023822407	0.00127834	0.000710821	0.146713861	0.097020606	0.002870876	0.001518393	0.597033002	0.39971046	0.006000262	0.003136483	2.64267731	1.785692848	0.013307193	0.006803986	x	x
0.000910081	0.000507625	0.036121404	0.023523681	0.001178917	0.000686753	0.146821911	0.096105552	0.002629417	0.001455569	0.599635229	0.403156069	0.005896984	0.003163086	2.669138068	1.770534311	0.013232069	0.006886464	x	x
0.000811536	0.000520679	0.036838893	0.023621087	0.001193143	0.00068565	0.146919459	0.100898781	0.00285731	0.001450196	0.595026509	0.397086799	0.005831754	0.003119717	2.630521749	1.743096159	0.013343508	0.006823258	x	x
0.000893003	0.000488575	0.036496629	0.023550562	0.001183187	0.000682949	0.157616186	0.107127888	0.002654271	0.001660217	0.598082151	0.403036408	0.00584422	0.003206222	2.653051304	1.759241397	0.013338573	0.006766869	x	x
0.000916187	0.000557179	0.036112396	0.023404097	0.001180476	0.000683746	0.159765196	0.095604749	0.002678836	0.001462223	0.594033776	0.399251751	0.0058093	0.00312317	2.644338025	1.747884536	0.013283654	0.006801345	x	x
0.000896675	0.000560394	0.036236757	0.023225205	0.001187962	0.000686794	0.152463446	0.112247308	0.002740076	0.001496353	0.597519652	0.402547727	0.005873812	0.003225266	2.664467914	1.765083399	0.013336736	0.006747513	x	x
0.000899079	0.000528005	0.036151809	0.023587932	0.001179072	0.000716348	0.167211304	0.10110468	0.002625625	0.001455805	0.595939196	0.399411572	0.00590738	0.003143898	2.647061658	1.748870066	0.013237211	0.006788255	x	x
0.00083532	0.000519423	0.036357841	0.023613562	0.001181736	0.000689042	0.155333743	0.0998314	0.002858007	0.001465848	0.595515364	0.404683612	0.005800006	0.003161567	2.661528721	1.770270135	0.0133285	0.006857707	x	x
0.000862389	0.000327033	0.036201261	0.023372516	0.001197483	0.000687097	0.168425115	0.096747688	0.002629576	0.001506534	0.596837468	0.407237448	0.005946958	0.003171486	2.640823844	1.755836529	0.013240914	0.006774961	x	x
